"filename", "language", "PHP", "JavaScript", "comment", "blank", "total"
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\admin\import_kanbans.php", "PHP", 110, 0, 5, 23, 138
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\add_to_purchase_order.php", "PHP", 31, 0, 7, 13, 51
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\app.php", "PHP", 23, 0, 2, 4, 29
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\initialize.php", "PHP", 74, 0, 3, 22, 99
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\load_kanban.php", "PHP", 112, 0, 3, 5, 120
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\load_on_order_list.php", "PHP", 64, 0, 15, 12, 91
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\new_purchase_order.php", "PHP", 40, 0, 2, 11, 53
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\on_order_list.php", "PHP", 28, 0, 2, 5, 35
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\purchase_order_preview.php", "PHP", 91, 0, 18, 29, 138
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\remove_all_from_purchase_order.php", "PHP", 50, 0, 18, 21, 89
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\remove_from_purchase_order.php", "PHP", 24, 0, 4, 10, 38
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\components\send_purchase_order.php", "PHP", 82, 0, 67, 38, 187
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\kanbanotron_connection.php", "PHP", 10, 0, 2, 4, 16
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\knbn_wp_connection.php", "PHP", 10, 0, 2, 4, 16
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\items_request.php", "PHP", 23, 0, 3, 7, 33
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\purchaseorder_request.php", "PHP", 38, 0, 7, 13, 58
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\purchaseorder_update.php", "PHP", 121, 0, 14, 21, 156
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\purchaseorderlineret_update.php", "PHP", 70, 0, 15, 18, 103
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\qb_data_connection.php", "PHP", 10, 0, 2, 4, 16
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\salesorder_price_calculation.php", "PHP", 9, 0, 0, 5, 14
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\salesorpurchaseret_request.php", "PHP", 23, 0, 3, 7, 33
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\qb_db\vendor_request.php", "PHP", 98, 0, 3, 7, 108
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\db\request.php", "PHP", 92, 0, 5, 11, 108
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\js\kanbanotron.js", "JavaScript", 0, 109, 10, 22, 141
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\kanbanotron.php", "PHP", 74, 0, 24, 15, 113
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\kanbanotron\main.php", "PHP", 15, 0, 0, 2, 17
"Total", "-", 1322, 109, 236, 333, 2000
