"filename", "language", "PHP", "CSS", "SCSS", "comment", "blank", "total"
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\404.php", "PHP", 25, 0, 0, 7, 3, 35
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\archive.php", "PHP", 14, 0, 0, 7, 2, 23
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\comments.php", "PHP", 46, 0, 0, 19, 10, 75
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\footer.php", "PHP", 19, 0, 0, 21, 6, 46
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\functions.php", "PHP", 177, 0, 0, 12, 35, 224
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\header.php", "PHP", 69, 0, 0, 22, 12, 103
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\inc\blog\class-post-entry.php", "PHP", 484, 0, 0, 184, 81, 749
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\index.php", "PHP", 25, 0, 0, 12, 2, 39
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\employee-roster.php", "PHP", 43, 0, 0, 4, 8, 55
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\homepage.php", "PHP", 20, 0, 0, 37, 15, 72
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\kanban-generator.php", "PHP", 57, 0, 0, 3, 22, 82
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\kanbanotron.php", "PHP", 5, 0, 0, 3, 5, 13
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\label-o-matic.php", "PHP", 21, 0, 0, 3, 12, 36
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page-templates\shared-documents.php", "PHP", 53, 0, 0, 3, 14, 70
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\page.php", "PHP", 19, 0, 0, 13, 4, 36
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\breakpoint-styles.css", "CSS", 0, 53, 0, 1, 2, 56
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\breakpoint-styles.scss", "SCSS", 0, 0, 51, 3, 12, 66
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\componentz.css", "CSS", 0, 42, 0, 1, 9, 52
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\componentz.scss", "SCSS", 0, 0, 54, 0, 11, 65
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\customify.css", "CSS", 0, 7, 0, 1, 1, 9
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\customify.scss", "SCSS", 0, 0, 9, 0, 2, 11
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\font-awesome.css", "CSS", 0, 12, 0, 1, 3, 16
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\font-awesome.scss", "SCSS", 0, 0, 12, 1, 4, 17
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\general.css", "CSS", 0, 1537, 0, 2, 149, 1688
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\general.scss", "SCSS", 0, 0, 770, 2, 149, 921
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\mixins.css", "CSS", 0, 1, 0, 0, 0, 1
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sass\mixins.scss", "SCSS", 0, 0, 38, 1, 11, 50
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\search.php", "PHP", 21, 0, 0, 7, 2, 30
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sidebar-secondary.php", "PHP", 15, 0, 0, 7, 2, 24
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\sidebar.php", "PHP", 15, 0, 0, 7, 2, 24
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\single.php", "PHP", 20, 0, 0, 7, 2, 29
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\style.css", "CSS", 0, 1609, 0, 15, 158, 1782
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\style.scss", "SCSS", 0, 0, 4, 13, 1, 18
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\themes\internalweb-theme-customify\woocommerce.php", "PHP", 11, 0, 0, 12, 2, 25
"Total", "-", 1159, 3261, 938, 431, 753, 6542
