"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\approval.php", "PHP", 249, 0, 0, 8, 51, 308
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\db-connect.php", "PHP", 10, 0, 0, 3, 5, 18
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\edit-label.php", "PHP", 48, 0, 0, 4, 19, 71
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\email-form.php", "PHP", 29, 0, 0, 0, 3, 32
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\email-template\email-footer.php", "PHP", 43, 0, 0, 0, 1, 44
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\email-template\email-header.php", "PHP", 172, 0, 0, 3, 28, 203
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\email-template\full-template.php", "PHP", 488, 0, 0, 3, 37, 528
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\js\main.js", "JavaScript", 0, 0, 132, 13, 29, 174
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\label-o-matic.php", "PHP", 3, 0, 0, 8, 1, 12
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\list.php", "PHP", 108, 0, 0, 10, 25, 143
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\mail-label.php", "PHP", 324, 0, 0, 8, 68, 400
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\main.php", "PHP", 39, 0, 0, 1, 3, 43
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-form.php", "PHP", 227, 0, 0, 3, 78, 308
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\blank-card-labels.php", "PHP", 33, 0, 0, 0, 21, 54
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\blue-shop-labels.php", "PHP", 12, 0, 0, 0, 17, 29
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\build-order-card.php", "PHP", 60, 0, 0, 0, 16, 76
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\cell-labels.php", "PHP", 32, 0, 0, 0, 35, 67
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\consumable-labels.php", "PHP", 46, 0, 0, 0, 4, 50
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\floor-labels.php", "PHP", 8, 0, 0, 0, 14, 22
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\kanban-card.php", "PHP", 80, 0, 0, 0, 27, 107
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\kanban-labels.php", "PHP", 34, 0, 0, 0, 15, 49
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\order-notes-card.php", "PHP", 71, 0, 0, 0, 24, 95
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\tool-labels.php", "PHP", 119, 0, 0, 11, 26, 156
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\order-forms\warning-safety-labels.php", "PHP", 11, 0, 0, 0, 12, 23
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\preview-loop.php", "PHP", 77, 0, 0, 2, 26, 105
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\remove-label.php", "PHP", 24, 0, 0, 0, 10, 34
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\style.css", "CSS", 0, 222, 0, 0, 34, 256
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\tracking.php", "PHP", 18, 0, 0, 0, 7, 25
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\update.php", "PHP", 89, 0, 0, 8, 31, 128
"\\media\Marketing\Development\internalweb\internalweb_repository\wp-content\plugins\label-o-matic\user-update.php", "PHP", 348, 0, 0, 7, 55, 410
"Total", "-", 2802, 222, 132, 92, 722, 3970
